city,state,date,type,description,source,severity
Palatine,IL,Unknown,POLICE_VIOLENCE,New Federal Court Filing Challenges Trump Administration's Most Recent Violent and Illegal Arrest Tactics in Chicago Area - National Immigrant Justice,https://immigrantjustice.org/press-release/new-federal-court-filing-challenges-trump-administrations-most-recent-violent-and-illegal-arrest-tactics-in-chicago-area/,8
Chicago,IL,Unknown,POLICE_VIOLENCE,"Agents tackle US citizen after East Side operations leads to crash, spills into Walgreens - ABC7 Chicago(opens in a new tab)",https://abc7chicago.com/post/chicago-crash-massive-law-enforcement-presence-south-avenue-east-side-live/18005825/,8
New York City,NY,Unknown,ICE_OPERATION,New York City public school student detained by ICE at asylum hearing - CBS New York(opens in a new tab),https://www.cbsnews.com/newyork/news/nyc-high-school-student-immigrant-detained-ice/,7
Austin,TX,Unknown,CONSTITUTIONAL_VIOLATION,"ICE deports Austin woman and her three kids. Two are U.S. citizens. | KUT Radio, Austin's NPR Station(opens in a new tab)",https://www.kut.org/crime-justice/2025-05-08/immigration-customs-and-enforcement-agents-undocumented-immigrants-austin-tx-deportation-family-u-s-citizens,8
Worcester,MA,Unknown,POLICE_VIOLENCE,"Massachusetts police hold girl's face to the ground as ICE arrests her mother, video shows - NBC News(opens in a new tab)",https://www.nbcnews.com/news/us-news/massachusetts-police-hold-girls-face-ground-ice-arrests-mother-video-s-rcna205798,7
Newark,NJ,Unknown,CONSTITUTIONAL_VIOLATION,"Judge dismisses Baraka charges, reprimands prosecutors - New Jersey Globe(opens in a new tab)",https://newjerseyglobe.com/judiciary/judge-dismisses-baraka-charges-reprimands-prosecutors/,6
Newark,NJ,Unknown,CONSTITUTIONAL_VIOLATION,New videos capture tense moments surrounding arrest of Newark mayor - New Jersey Monitor(opens in a new tab),https://newjerseymonitor.com/2025/10/03/new-videos-capture-tense-moments-before-and-after-arrest-of-newark-mayor/,6
Chelsea,MA,Unknown,POLICE_VIOLENCE,Immigration Officers Smash Car Windows to Speed Up Arrests - ProPublica(opens in a new tab),https://projects.propublica.org/trump-ice-smashed-windows-deportation-arrests/,7
Waltham,MA,Unknown,POLICE_VIOLENCE,Teen records ICE agents smashing van window in Waltham – NBC Boston(opens in a new tab),https://www.nbcboston.com/news/local/fear-and-anger-teen-records-ice-agents-smashing-van-window-in-waltham/3712764/,7
Grand Junction,CO,Unknown,ICE_OPERATION,ACLU leads lawsuit against 'indiscriminate' ICE arrests in Colorado - KUNC(opens in a new tab),https://www.kunc.org/news/2025-10-16/aclu-leads-lawsuit-against-indiscriminate-ice-arrests-in-colorado,5
Phoenix,AZ,Unknown,ICE_OPERATION,Mayhem' as ICE officials arrest multiple people at immigration court in Phoenix - Arizona Mirror(opens in a new tab),https://azmirror.com/2025/05/21/mayhem-as-ice-officials-arrest-multiple-people-at-immigration-court-in-phoenix/,7
